,vmag,name,bayer,distance_ly,spectral_class,star,constellation,right_ascension,declination,apparent_magnitude,spectral_type,mass.1,radius.1,discovery_year,gravity
0,3.83,V382 Carinae,Car,8900.0,G2,2MASS 0036+1821,Pisces,0h 36m 16.17s,182110.4,12.47,L3.5,8.3538e+31,67202685.95399994,2000.0,3.5489800238528123e+24
1,4.82,P Cygni,P Cyg,5545.0,B1,Teegarden's star,Aries,2h 53m 0.84s,165253.2,15.4,M7,1.5912e+32,90795118.25699992,2003.0,5.003436404081954e+24
2,4.91,VV Cephei,Cep,4900.0,M2,DEN 0255-4700,Eridanus,2h 55m 3.57s,47050.9,22.92,L8,1.5912e+32,69347452.52699994,2006.0,6.550890962045446e+24
3,5.2,61 Cygni,Cyg,11.41,K5,2MASS J03552337+1133437,Taurus,3h 55m 23.37s,113343.7,14.05,L5,3.978e+31,918324000.0,2006.0,1.2367301736641957e+23
4,5.4,R Doradus,Dor,178.0,M8,2MASS J041519540935066,Eridanus,4h 15m 19.54s,9356.6,15.7,T8,5.967e+31,660915000.0,2002.0,2.5776060461632707e+23
5,5.47,Polaris Australis,Oct,281.0,F0,LSR 0602+3910[de],Auriga,6h 2m 30.45s,391059.2,20.88,L1,5.5692e+31,980937000.0,2003.0,1.6209059297386052e+23
6,5.71,R Coronae Borealis,Bor,4566.0,G0,DENIS J081730.0-615520,Carina,8h 17m 30.01s,615515.8,13.6,T6,8.7516e+31,653958000.0,2010.0,3.8207068343838554e+23
7,5.88,54 Piscium,Psc,36.1,K0,2MASS 09392448,Antlia,9h 39m 35.48s,244827.9,16.83,T8,6.3648e+31,660915000.0,2005.0,2.7494464492408222e+23
8,6.65,RW Cephei,Cep,14000.0,K2,2MASS J1047538+212423[de],Leo,10h 47m 53.85s,212423.4,15.8,T6.5,8.3538e+31,653958000.0,1999.0,3.647038341911862e+23
9,6.67,Lacaille 8760,Mic,12.87,M0,DEN 1048-3956,Antlia,10h 48m 14.64s,39566.2,17.4,M9,1.53153e+32,744399000.0,2000.0,5.873890413608825e+23
10,6.75,V838 Monocerotis,Mon,19896.0,M6,DENIS-P J1058.71548,Crater,10h 58m 47.87s,154817.2,14.155,L3,1.27296e+32,695700000.0,1997.0,5.223948253557562e+23
11,7.25,HD 140283,Lib,190.0,F?,Cha 110913-773444,Chamaeleon,11h 9m 14s,773445.0,21.59,L,1.5912e+31,1252260000.0,2005.0,3.627741842748307e+22
12,7.4,II Pegasi,Peg,130.0,K2,2MASS J111451332618235,Hydra,11h 14m 51.33s,261823.5,15.86,T7.5,6.5637e+31,667872000.0,2005.0,2.8058315815006437e+23
